eval_idx,native_vs_big_top1_match,translated_vs_big_top1_match,translated_vs_native_top1_match,native_vs_big_kl_p_to_q,native_vs_big_kl_q_to_p,native_vs_big_js,native_vs_big_tv,native_vs_big_accept_mass,native_vs_big_top5_overlap,native_vs_big_draft_prob_on_target_top1,native_vs_big_target_prob_on_target_top1,translated_vs_big_kl_p_to_q,translated_vs_big_kl_q_to_p,translated_vs_big_js,translated_vs_big_tv,translated_vs_big_accept_mass,translated_vs_big_top5_overlap,translated_vs_big_draft_prob_on_target_top1,translated_vs_big_target_prob_on_target_top1,translated_vs_native_kl_p_to_q,translated_vs_native_kl_q_to_p,translated_vs_native_js,translated_vs_native_tv,translated_vs_native_accept_mass,translated_vs_native_top5_overlap,translated_vs_native_draft_prob_on_target_top1,translated_vs_native_target_prob_on_target_top1,identity_vs_big_top1_match,identity_vs_big_kl_p_to_q,identity_vs_big_kl_q_to_p,identity_vs_big_js,identity_vs_big_tv,identity_vs_big_accept_mass,identity_vs_big_top5_overlap,identity_vs_big_draft_prob_on_target_top1,identity_vs_big_target_prob_on_target_top1
0,1.0,0.0,0.0,0.003607414197176695,0.005292369984090328,0.0009287755819968879,0.003799016587436199,0.9962009191513062,0.800000011920929,0.9909016489982605,0.9899811148643494,2.5467770099639893,8.626261711120605,0.5409799218177795,0.9170873165130615,0.08291281759738922,0.6000000238418579,0.07375311106443405,0.9899811148643494,2.548902988433838,7.861022472381592,0.5414973497390747,0.9173984527587891,0.08260183036327362,0.6000000238418579,0.07375311106443405,0.9909016489982605,0.0,12.303993225097656,19.311405181884766,0.6921737194061279,0.999434769153595,0.0005650646635331213,0.0,4.3666118472174276e-06,0.9899811148643494
1,1.0,0.0,0.0,0.2451205551624298,0.15574587881565094,0.03946511447429657,0.1775369644165039,0.82246333360672,0.6000000238418579,0.621199369430542,0.5197128057479858,1.9919915199279785,3.2932839393615723,0.4036572277545929,0.7506030201911926,0.24939724802970886,0.6000000238418579,0.025589361786842346,0.5197128057479858,2.23958683013916,3.0351345539093018,0.425830215215683,0.7831342220306396,0.21686600148677826,0.6000000238418579,0.025589361786842346,0.621199369430542,0.0,7.772629737854004,10.626476287841797,0.6642233729362488,0.9785601496696472,0.02143973857164383,0.0,4.1403862269362435e-05,0.5197128057479858
2,1.0,1.0,1.0,0.24855558574199677,0.40396061539649963,0.07072506099939346,0.30835267901420593,0.6916475892066956,1.0,0.5618607401847839,0.868302047252655,1.417776346206665,4.4924116134643555,0.36074185371398926,0.7208477258682251,0.2791523337364197,0.4000000059604645,0.1631728857755661,0.868302047252655,1.077036738395691,3.0259060859680176,0.2897898554801941,0.6480790376663208,0.35192108154296875,0.4000000059604645,0.1631728857755661,0.5618607401847839,0.0,8.665764808654785,11.928964614868164,0.676311731338501,0.9882704019546509,0.011729621328413486,0.0,8.242297190008685e-05,0.868302047252655
3,1.0,0.0,0.0,0.2213357388973236,0.22714821994304657,0.049347952008247375,0.21014174818992615,0.7898585200309753,0.800000011920929,0.4593196213245392,0.4045078754425049,1.139777421951294,1.7666079998016357,0.23668673634529114,0.5656160116195679,0.43438440561294556,0.6000000238418579,0.07192505896091461,0.4045078754425049,1.1799731254577637,1.3385109901428223,0.23088331520557404,0.5584144592285156,0.44158580899238586,0.6000000238418579,0.07192505896091461,0.4593196213245392,0.0,5.755888938903809,9.197023391723633,0.6391225457191467,0.9603350758552551,0.03966503217816353,0.0,0.00033512336085550487,0.4045078754425049
4,1.0,0.0,0.0,0.08459842205047607,0.30879297852516174,0.02790462225675583,0.09085516631603241,0.9091449975967407,0.6000000238418579,0.9029439687728882,0.993261992931366,8.50507640838623,8.170524597167969,0.6849141120910645,0.9959027767181396,0.004097359254956245,0.0,0.0001893634907901287,0.993261992931366,7.820065975189209,5.878464698791504,0.638200581073761,0.9623745083808899,0.03762553259730339,0.20000000298023224,0.0001893634907901287,0.9029439687728882,0.0,14.152850151062012,13.441075325012207,0.6894515752792358,0.9979445934295654,0.0020555693190544844,0.0,6.592164254470845e-07,0.993261992931366
5,1.0,0.0,0.0,0.0032900935038924217,0.01321993675082922,0.0010768990032374859,0.0034109018743038177,0.9965890645980835,0.800000011920929,0.9964892268180847,0.999851644039154,4.083779335021973,14.661474227905273,0.6499670147895813,0.9830529689788818,0.016947168856859207,0.0,0.016823265701532364,0.999851644039154,4.072535514831543,11.124954223632812,0.6476133465766907,0.9817785620689392,0.01822146773338318,0.0,0.016823265701532364,0.9964892268180847,0.0,7.227176189422607,17.933603286743164,0.6899287104606628,0.999161422252655,0.0008387008565478027,0.0,0.0007255289820022881,0.999851644039154
6,1.0,0.0,0.0,0.034313395619392395,0.03777068480849266,0.007999524474143982,0.03432606905698776,0.9656741619110107,0.800000011920929,0.8895092010498047,0.8910513520240784,2.245906352996826,4.126660346984863,0.4797605872154236,0.8525130152702332,0.14748725295066833,0.4000000059604645,0.07208482921123505,0.8910513520240784,2.1821703910827637,3.916703939437866,0.46295103430747986,0.8286759257316589,0.1713244616985321,0.6000000238418579,0.07208482921123505,0.8895092010498047,0.0,16.448875427246094,12.440337181091309,0.6828573942184448,0.9935255646705627,0.006474334746599197,0.0,2.4641611418019238e-08,0.8910513520240784
7,1.0,0.0,0.0,0.0024762817192822695,0.010710184462368488,0.0008399515645578504,0.002627341542392969,0.9973727464675903,0.6000000238418579,0.9972870349884033,0.9999088048934937,4.1338019371032715,17.890155792236328,0.6517930626869202,0.9839046597480774,0.016095345839858055,0.0,0.016010094434022903,0.9999088048934937,4.1242780685424805,14.34214973449707,0.649869441986084,0.983006477355957,0.016993513330817223,0.20000000298023224,0.016010094434022903,0.9972870349884033,0.0,8.298742294311523,24.67215347290039,0.6919107437133789,0.9996771216392517,0.00032302658655680716,0.0,0.0002486127777956426,0.9999088048934937
8,1.0,0.0,0.0,0.24978011846542358,0.17616218328475952,0.04617944732308388,0.18672780692577362,0.8132723569869995,0.800000011920929,0.7266007661819458,0.6279999017715454,2.7269883155822754,3.524533271789551,0.4719359874725342,0.8354069590568542,0.16459324955940247,0.4000000059604645,0.017637088894844055,0.6279999017715454,2.859307289123535,3.3957009315490723,0.4736132025718689,0.8268900513648987,0.17311012744903564,0.4000000059604645,0.017637088894844055,0.7266007661819458,0.0,11.569364547729492,8.56249713897705,0.6539278626441956,0.9718524217605591,0.028147529810667038,0.0,2.3596720666319015e-07,0.6279999017715454
9,1.0,0.0,0.0,0.32515406608581543,0.4315336048603058,0.08651324361562729,0.3731260895729065,0.6268741488456726,1.0,0.3925340473651886,0.7647526264190674,5.048425674438477,4.681815147399902,0.5019800662994385,0.8052346706390381,0.19476577639579773,0.4000000059604645,0.0010123845422640443,0.7647526264190674,2.8962619304656982,3.7423572540283203,0.36847251653671265,0.6115635633468628,0.38843682408332825,0.4000000059604645,0.0010123845422640443,0.3925340473651886,0.0,14.696678161621094,11.38651180267334,0.6923319697380066,0.9993718266487122,0.0006284309201873839,0.0,1.2997934106806497e-07,0.7647526264190674
