pair,pair_label,run,context,dataset,seed,config,config_label,num_prompts,accept_rate,accept_ci_low,accept_ci_high,acceptance_retained,accepted_per_round,top1_match,round_js,accept_mass,draft_cache_saved_fraction,total_cache_saved_fraction,exact_match,tie_consistent_mismatches,non_tie_mismatches,unknown_mismatches,valid_exact_generation,summary_path
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,allocation_ctx1024,1024,wikitext,0,none,BF16,32,0.5198237885462555,0.4644735356546087,0.5843949044585988,1.0,2.09656498015873,0.7814856150793651,0.06724868564582205,0.7875064208066933,0.0,0.0,0.8125,6,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/allocation_ctx1024/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,allocation_ctx1024,1024,wikitext,0,sensitivity_aware,Sensitivity-aware,32,0.5344311377245509,0.4691358024691358,0.6035889070146819,1.0281005785040087,2.1299107142857143,0.7597098214285715,0.0725184566872009,0.7773128157287525,0.21205357142857142,0.09895833333333333,0.875,4,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/allocation_ctx1024/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed1,1024,allenai/c4,1,none,BF16,16,0.4642857142857143,0.37530266343825663,0.574613095238095,1.0,1.8862103174603175,0.758234126984127,0.11522186598395198,0.7148516571444427,0.0,0.0,0.6875,5,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/c4_ctx1024_seed1/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed1,1024,allenai/c4,1,k8v4,K8 V4,16,0.46408839779005523,0.37897310513447435,0.5732484076433121,0.9995750106247343,1.9157986111111112,0.7537450396825397,0.11564047801335359,0.7150387644922058,0.6171875,0.28802083333333334,0.75,3,1,0,False,outputs/iclr_spec_kv/llama31_8b_llama32_3b/c4_ctx1024_seed1/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed1,1024,allenai/c4,1,k4v8,K4 V8,16,0.4376657824933687,0.3586698337292161,0.5329341317365269,0.9426647622934095,1.8543898809523809,0.7213789682539683,0.1268210871068616,0.6878090112928129,0.6171875,0.28802083333333334,0.8125,3,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/c4_ctx1024_seed1/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed2,1024,allenai/c4,2,none,BF16,16,0.6394557823129252,0.5652173913043478,0.7222378277153556,1.0,2.4413690476190477,0.8169642857142857,0.02643597023697747,0.8523278287478856,0.0,0.0,0.8125,3,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/c4_ctx1024_seed2/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed2,1024,allenai/c4,2,k8v4,K8 V4,16,0.6482758620689655,0.5709667929155583,0.7340823970037453,1.0137931034482757,2.4605654761904763,0.8205357142857143,0.027736144906269442,0.8500118408973019,0.6171875,0.28802083333333334,0.8125,3,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/c4_ctx1024_seed2/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed2,1024,allenai/c4,2,k4v8,K4 V8,16,0.5583596214511041,0.48,0.6472808577156219,0.8731794080139605,2.1828125,0.8029761904761905,0.037145197507789655,0.8279986318866057,0.6171875,0.28802083333333334,0.75,4,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/c4_ctx1024_seed2/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx1024,1024,wikitext,0,none,BF16,32,0.5198237885462555,0.4590604026845638,0.585062426625894,1.0,2.09656498015873,0.7814856150793651,0.06724868564582205,0.7875064208066933,0.0,0.0,0.8125,6,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx1024/summary.json
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx1024,1024,wikitext,0,k8v8,K8 V8,32,0.533532041728763,0.47586206896551725,0.5955056179775281,1.026370961630756,2.1115575396825395,0.7974454365079365,0.06741003852013767,0.787949082134698,0.4921875,0.2296875,0.8125,6,0,0,True,outputs/iclr_spec_kv/llama31_8b_llama32_3b/wikitext_ctx1024/summary.json
