pair,pair_label,run,context,k8v4_accept_rate,k4v8_accept_rate,accept_rate_delta,delta_ci_low,delta_ci_high,k8v4_wins,total_cache_saved_fraction
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed1,1024,0.46408839779005523,0.4376657824933687,0.026422615296686547,-0.029833642759429357,0.08501537975188235,True,0.28802083333333334
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,c4_ctx1024_seed2,1024,0.6482758620689655,0.5583596214511041,0.08991624061786141,0.026007064987165963,0.15622116542608236,True,0.28802083333333334
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx1024,1024,0.5228951255539144,0.5115942028985507,0.011300922655363643,-0.019074159383851083,0.042819465812714466,True,0.28802083333333334
llama31_8b_llama32_3b,Llama 3.1 8B/3.2 3B,wikitext_ctx4096,4096,0.6026200873362445,0.5555555555555556,0.04706453178068892,-0.023125440880509926,0.12052727146895117,True,0.28802083333333334
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed1,1024,0.5119047619047619,0.501466275659824,0.010438486244937817,-0.012372562075258147,0.04202498540884204,True,0.1234375
olmo2_7b_1b,OLMo-2 7B/1B,c4_ctx1024_seed2,1024,0.55,0.47592067988668557,0.07407932011331447,0.03399258992004966,0.11679495824642694,True,0.1234375
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx1024,1024,0.42782152230971127,0.4296977660972405,-0.0018762437875292082,-0.023018937014631705,0.020491197413737627,False,0.1234375
olmo2_7b_1b,OLMo-2 7B/1B,wikitext_ctx4096,4096,0.5362903225806451,0.5078125,0.02847782258064513,-0.03308915062733979,0.10773892750803886,True,0.1234375
qwen25_3b_15b,Qwen2.5 3B/1.5B,c4_ctx1024_seed1,1024,0.46537396121883656,0.28051391862955033,0.18486004258928623,0.10061840185435174,0.2769643073703437,True,0.27001953125
qwen25_3b_15b,Qwen2.5 3B/1.5B,c4_ctx1024_seed2,1024,0.6019417475728155,0.32027649769585254,0.28166524987696295,0.19997000943505658,0.372452811635373,True,0.27001953125
qwen25_3b_15b,Qwen2.5 3B/1.5B,wikitext_ctx1024,1024,0.5938511326860841,0.28202368137782563,0.3118274513082585,0.23328884403185088,0.3900371823539156,True,0.27001953125
qwen25_3b_15b,Qwen2.5 3B/1.5B,wikitext_ctx16384,16384,0.5,0.36,0.14,0.08413793103448275,0.22969187675070035,True,0.27001953125
qwen25_3b_15b,Qwen2.5 3B/1.5B,wikitext_ctx4096,4096,0.6363636363636364,0.3,0.33636363636363636,0.22814333680901214,0.4357462703426708,True,0.27001953125
qwen25_3b_15b,Qwen2.5 3B/1.5B,wikitext_ctx8192,8192,0.5555555555555556,0.2956521739130435,0.2599033816425121,0.04048582995951422,0.5574712643678161,True,0.27001953125
qwen25_7b_3b,Qwen2.5 7B/3B,wikitext_ctx1024,1024,0.5510835913312694,0.4259501965923984,0.12513339473887097,0.07539387430909947,0.17836890463402047,True,0.24150815217391305
qwen25_7b_3b,Qwen2.5 7B/3B,wikitext_ctx4096,4096,0.6619718309859155,0.50199203187251,0.15997979911340554,0.043301635839575726,0.2887922909051961,True,0.24150815217391305
qwen3_8b_4b,Qwen3 8B/4B,wikitext_ctx1024,1024,0.6506849315068494,0.5416036308623298,0.1090813006445196,0.046129248442413215,0.1726969161204975,True,0.23557692307692307
qwen3_8b_4b,Qwen3 8B/4B,wikitext_ctx4096,4096,0.6380090497737556,0.49624060150375937,0.14176844826999624,0.03256923269052647,0.24219793815183585,True,0.23557692307692307
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx1024,1024,0.48714285714285716,0.39027431421446385,0.09686854292839331,0.05357800500726446,0.14305293791550153,True,0.1050646551724138
smollm2_17b_360m,SmolLM2 1.7B/360M,wikitext_ctx4096,4096,0.3682539682539683,0.3264094955489614,0.04184447270500685,-0.021071155331301925,0.10395704828289828,True,0.1050646551724138
