context,depth,config,num_seeds,num_examples,accuracy_mean,accuracy_ci_low,accuracy_ci_high,paired_delta_vs_bf16_mean,paired_delta_vs_bf16_ci_low,paired_delta_vs_bf16_ci_high,cache_saved_fraction
4096,all,none,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4096,all,k3v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.729848967219108
4096,all,k4v3,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7308771782841822
4096,all,k4v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.6996271782841822
4096,all,k4v8,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.5746271782841823
4096,all,k8v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.5787400225444796
4096,0.1,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4096,0.1,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.729848967219108
4096,0.1,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7308771782841822
4096,0.1,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.6996271782841822
4096,0.1,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5746271782841823
4096,0.1,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5787400225444796
4096,0.5,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4096,0.5,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.729848967219108
4096,0.5,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7308771782841822
4096,0.5,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.6996271782841822
4096,0.5,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5746271782841823
4096,0.5,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5787400225444796
4096,0.9,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4096,0.9,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.729848967219108
4096,0.9,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7308771782841822
4096,0.9,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.6996271782841822
4096,0.9,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5746271782841823
4096,0.9,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5787400225444796
8192,all,none,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8192,all,k3v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7360129665203073
8192,all,k4v3,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7365275109769485
8192,all,k4v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7052775109769485
8192,all,k4v8,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.5802775109769485
8192,all,k8v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.5823356888035126
8192,0.1,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8192,0.1,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7360129665203073
8192,0.1,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7365275109769485
8192,0.1,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7052775109769485
8192,0.1,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5802775109769485
8192,0.1,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5823356888035126
8192,0.5,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8192,0.5,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7360129665203073
8192,0.5,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7365275109769485
8192,0.5,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7052775109769485
8192,0.5,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5802775109769485
8192,0.5,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5823356888035126
8192,0.9,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8192,0.9,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7360129665203073
8192,0.9,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7365275109769485
8192,0.9,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7052775109769485
8192,0.9,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5802775109769485
8192,0.9,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5823356888035126
16384,all,none,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16384,all,k3v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7390989148008055
16384,all,k4v3,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7393562969007382
16384,all,k4v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.7081062969007382
16384,all,k4v8,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.5831062969007382
16384,all,k8v4,3,72,1.0,1.0,1.0,0.0,0.0,0.0,0.5841358253004698
16384,0.1,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16384,0.1,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7390989148008055
16384,0.1,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7393562969007382
16384,0.1,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7081062969007382
16384,0.1,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5831062969007382
16384,0.1,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5841358253004698
16384,0.5,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16384,0.5,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7390989148008055
16384,0.5,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7393562969007382
16384,0.5,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7081062969007382
16384,0.5,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5831062969007382
16384,0.5,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5841358253004698
16384,0.9,none,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0
16384,0.9,k3v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7390989148008055
16384,0.9,k4v3,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7393562969007382
16384,0.9,k4v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.7081062969007382
16384,0.9,k4v8,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5831062969007382
16384,0.9,k8v4,3,24,1.0,1.0,1.0,0.0,0.0,0.0,0.5841358253004698
