context,depth,config_a,config_b,paired_count,accuracy_a_minus_b_mean,accuracy_a_minus_b_ci_low,accuracy_a_minus_b_ci_high
4096,all,k8v4,k4v8,72,0.0,0.0,0.0
4096,all,k4v3,k3v4,72,0.0,0.0,0.0
4096,0.1,k8v4,k4v8,24,0.0,0.0,0.0
4096,0.1,k4v3,k3v4,24,0.0,0.0,0.0
4096,0.5,k8v4,k4v8,24,0.0,0.0,0.0
4096,0.5,k4v3,k3v4,24,0.0,0.0,0.0
4096,0.9,k8v4,k4v8,24,0.0,0.0,0.0
4096,0.9,k4v3,k3v4,24,0.0,0.0,0.0
8192,all,k8v4,k4v8,72,0.0,0.0,0.0
8192,all,k4v3,k3v4,72,0.0,0.0,0.0
8192,0.1,k8v4,k4v8,24,0.0,0.0,0.0
8192,0.1,k4v3,k3v4,24,0.0,0.0,0.0
8192,0.5,k8v4,k4v8,24,0.0,0.0,0.0
8192,0.5,k4v3,k3v4,24,0.0,0.0,0.0
8192,0.9,k8v4,k4v8,24,0.0,0.0,0.0
8192,0.9,k4v3,k3v4,24,0.0,0.0,0.0
16384,all,k8v4,k4v8,72,0.0,0.0,0.0
16384,all,k4v3,k3v4,72,0.0,0.0,0.0
16384,0.1,k8v4,k4v8,24,0.0,0.0,0.0
16384,0.1,k4v3,k3v4,24,0.0,0.0,0.0
16384,0.5,k8v4,k4v8,24,0.0,0.0,0.0
16384,0.5,k4v3,k3v4,24,0.0,0.0,0.0
16384,0.9,k8v4,k4v8,24,0.0,0.0,0.0
16384,0.9,k4v3,k3v4,24,0.0,0.0,0.0
