quality_kl_budget,acceptance_drop_budget,num_cells,num_selected,num_acceptance_safe,num_selected_and_safe,precision,recall,false_safe_count
0.0025,0.01,48,6,30,6,1.0,0.2,0
0.0025,0.02,48,6,35,6,1.0,0.17142857142857143,0
0.0025,0.05,48,6,44,6,1.0,0.13636363636363635,0
0.005,0.01,48,6,30,6,1.0,0.2,0
0.005,0.02,48,6,35,6,1.0,0.17142857142857143,0
0.005,0.05,48,6,44,6,1.0,0.13636363636363635,0
0.01,0.01,48,19,30,19,1.0,0.6333333333333333,0
0.01,0.02,48,19,35,19,1.0,0.5428571428571428,0
0.01,0.05,48,19,44,19,1.0,0.4318181818181818,0
0.02,0.01,48,25,30,24,0.96,0.8,1
0.02,0.02,48,25,35,25,1.0,0.7142857142857143,0
0.02,0.05,48,25,44,25,1.0,0.5681818181818182,0
0.05,0.01,48,32,30,29,0.90625,0.9666666666666667,3
0.05,0.02,48,32,35,31,0.96875,0.8857142857142857,1
0.05,0.05,48,32,44,32,1.0,0.7272727272727273,0
