pair,context,config,k_bits,v_bits,cache_saved_fraction,target_kl_mean,target_kl_ci_low,target_kl_ci_high,draft_kl_mean,draft_kl_ci_low,draft_kl_ci_high,target_minus_draft_kl,target_top1_match,draft_top1_match,target_delta_nll,draft_delta_nll
qwen25_3b_15b,1024,k2v2,2,2,0.7866950757575758,0.14378394325976254,0.12812444186917185,0.16133419012481198,0.2533601050915024,0.22450320346205643,0.2833873487001881,-0.10957616183173988,0.8203125,0.78515625,0.09555168345609344,0.20597035389909912
qwen25_3b_15b,1024,k2v4,2,4,0.7241950757575758,0.032986859403371406,0.028261565842622363,0.03870492669543229,0.044269125471900095,0.036869236482980794,0.053265914550794324,-0.011282266068528689,0.9169921875,0.90234375,0.021125468235895006,0.02433337094391108
qwen25_3b_15b,1024,k3v4,3,4,0.6967329545454546,0.010034910169392846,0.00862583125504946,0.011647473284611819,0.011876037849257948,0.010178494700752605,0.01386202951912785,-0.0018411276798651014,0.95556640625,0.947265625,0.0052225236044627366,0.006608805643440796
qwen25_3b_15b,1024,k4v2,4,2,0.7317708333333334,0.11700045040405242,0.10285273109274051,0.13309463328832769,0.19971790937187173,0.17618924547170067,0.2252174297338243,-0.0827174589678193,0.83447265625,0.8056640625,0.07651434418173858,0.1635192275061632
qwen25_3b_15b,1024,k4v3,4,3,0.7005208333333334,0.023496798795102216,0.020627152405830813,0.026776274930292443,0.0363888218251861,0.03147581246124698,0.042432787489041,-0.012892023030083886,0.9296875,0.923828125,0.020189049775438228,0.029046301726565638
qwen25_3b_15b,1024,k4v4,4,4,0.6692708333333334,0.006945539358614082,0.005841993768828045,0.008257322845385828,0.008019687159999456,0.007100350656800147,0.009037615926916986,-0.001074147801385374,0.96044921875,0.9599609375,0.0017921948197692217,0.00136649093477903
qwen25_3b_15b,1024,k4v8,4,8,0.5442708333333334,0.0017948980870299133,0.0016289427160898337,0.0019788924240922694,0.0019259215707280591,0.0017777640528063438,0.0020776695717750135,-0.00013102348369814585,0.978515625,0.97314453125,0.0016399007475893512,-0.0015045189290989747
qwen25_3b_15b,1024,k8v4,8,4,0.5594223484848485,0.00585948894066048,0.004995791127009483,0.00685443355217463,0.007609086447909086,0.00670365396543382,0.008603577474539048,-0.0017495975072486063,0.9638671875,0.9609375,-0.0008620395307081807,0.005943192382821039
qwen25_7b_3b,1024,k2v2,2,2,0.7866950757575758,0.10087568484048759,0.08732680936756276,0.11724675980536181,0.14378394325976254,0.12812444186917185,0.16133419012481198,-0.04290825841927495,0.8564453125,0.8203125,0.021734020707284474,0.09555168345609344
qwen25_7b_3b,1024,k2v4,2,4,0.7241950757575758,0.027225494889399127,0.02214692653089123,0.033055336760210996,0.032986859403371406,0.028261565842622363,0.03870492669543229,-0.005761364513972279,0.92919921875,0.9169921875,0.004575800785048045,0.021125468235895006
qwen25_7b_3b,1024,k3v4,3,4,0.6967329545454546,0.006955885461536054,0.005731401559702448,0.008507845538183234,0.010034910169392846,0.00862583125504946,0.011647473284611819,-0.003079024707856792,0.95751953125,0.95556640625,0.00039866452748049674,0.0052225236044627366
qwen25_7b_3b,1024,k4v2,4,2,0.7317708333333334,0.07717596216692907,0.06639082753904174,0.08999490066565613,0.11700045040405242,0.10285273109274051,0.13309463328832769,-0.039824488237123354,0.87451171875,0.83447265625,0.006113547224231963,0.07651434418173858
qwen25_7b_3b,1024,k4v3,4,3,0.7005208333333334,0.015071560685715864,0.01334595060159672,0.016971321778742575,0.023496798795102216,0.020627152405830813,0.026776274930292443,-0.008425238109386352,0.9384765625,0.9296875,0.006367084303008808,0.020189049775438228
qwen25_7b_3b,1024,k4v4,4,4,0.6692708333333334,0.0047634414986190005,0.003898134475975923,0.005902138254350195,0.006945539358614082,0.005841993768828045,0.008257322845385828,-0.0021820978599950813,0.96484375,0.96044921875,-0.0050894362873359356,0.0017921948197692217
qwen25_7b_3b,1024,k4v8,4,8,0.5442708333333334,0.0012496788673245496,0.001149301068906143,0.0013539304366175786,0.0017948980870299133,0.0016289427160898337,0.0019788924240922694,-0.0005452192197053637,0.9814453125,0.978515625,-0.0011976412735257291,0.0016399007475893512
qwen25_7b_3b,1024,k8v4,8,4,0.5594223484848485,0.004041712921017918,0.003368721730669516,0.004905704040366568,0.00585948894066048,0.004995791127009483,0.00685443355217463,-0.001817776019642562,0.970703125,0.9638671875,-0.0010589671855769645,-0.0008620395307081807
qwen3_8b_4b,1024,k2v2,2,2,0.7866950757575758,0.12348248236752495,0.1083042059686844,0.13956511383737508,0.17446769971235115,0.15090049147377615,0.19962311970747956,-0.05098521734482621,0.8525390625,0.837890625,0.10109447944754013,0.17122743583535602
qwen3_8b_4b,1024,k2v4,2,4,0.7241950757575758,0.0357804022694593,0.03092190048520455,0.04134171719561618,0.051320111304712195,0.043650008015704324,0.059718919587529916,-0.015539709035252897,0.90771484375,0.9169921875,0.021158755649424717,0.043210422000180375
qwen3_8b_4b,1024,k3v4,3,4,0.6967329545454546,0.008851395640517486,0.007356945906095078,0.010536515222869941,0.012204096519070905,0.010895424363629613,0.01363109548279827,-0.0033527008785534194,0.95361328125,0.955078125,0.0019926516367167954,0.0065485534714752845
qwen3_8b_4b,1024,k4v2,4,2,0.7317708333333334,0.08979222665901307,0.07870466945648384,0.10242319133566948,0.1312790308616565,0.11364158648307408,0.15069211895628773,-0.04148680420264342,0.86962890625,0.85693359375,0.062432500126155546,0.1347499801876606
qwen3_8b_4b,1024,k4v3,4,3,0.7005208333333334,0.01895809977235191,0.015026720962089063,0.024044607995081495,0.02141601180972205,0.017953226546680783,0.025470607127918116,-0.002457912037370138,0.94189453125,0.9423828125,0.009804018946590255,0.006169346321128852
qwen3_8b_4b,1024,k4v4,4,4,0.6692708333333334,0.00655143236700721,0.0048532457442557264,0.008921972211612823,0.006875544587426698,0.006151020142637914,0.007644823496610361,-0.00032411222041948875,0.96484375,0.96435546875,0.004892273344925389,0.0067539544954010634
qwen3_8b_4b,1024,k4v8,4,8,0.5442708333333334,0.001823893028499284,0.0016309835239284715,0.0020406098620571523,0.0022865689785113467,0.0020258826648945705,0.0025722958870009974,-0.0004626759500120628,0.982421875,0.98193359375,0.003389119028083209,0.0024785165192285873
qwen3_8b_4b,1024,k8v4,8,4,0.5594223484848485,0.004813376500726135,0.003992707063643268,0.005819329557291246,0.005997202120680197,0.005089932494990332,0.007001684292932273,-0.0011838256199540615,0.966796875,0.970703125,0.0003750701112116214,0.003014497192011051
llama31_8b_llama32_3b,1024,k2v2,2,2,0.7866950757575758,0.16885944193427704,0.13650804906093406,0.20642017808055968,0.2550468950753526,0.21484719928976403,0.30785266837796144,-0.08618745314107557,0.82861328125,0.76904296875,0.164936120342146,0.2366350060654412
llama31_8b_llama32_3b,1024,k2v4,2,4,0.7241950757575758,0.04676529644873684,0.035634780664504095,0.060902252070804686,0.05866347769685465,0.05099700254803974,0.06744788181343608,-0.011898181248117812,0.89599609375,0.890625,0.02027103660515195,0.05818173096604795
