model,metric,num_paired_prompts,difference,ci_low,ci_high
Qwen2.5-1.5B,exact_sequence_match,96,-0.16666666666666666,-0.2604166666666667,-0.08333333333333333
Qwen2.5-1.5B,token_match_fraction,96,-0.10888671875,-0.1865234375,-0.031245930989583687
Qwen2.5-1.5B,prefix_retained_fraction,96,-0.11572265625,-0.19710286458333334,-0.034016927083333336
Llama-3.2-3B,exact_sequence_match,96,-0.052083333333333336,-0.14583333333333334,0.041666666666666664
Llama-3.2-3B,token_match_fraction,96,-0.07177734375,-0.14697265625,0.0029296875
Llama-3.2-3B,prefix_retained_fraction,96,-0.068359375,-0.14697265625,0.009440104166666666
OLMo-2-1B,exact_sequence_match,96,-0.14583333333333334,-0.25,-0.041666666666666664
OLMo-2-1B,token_match_fraction,96,-0.13997395833333334,-0.21989339192708332,-0.061197916666666664
OLMo-2-1B,prefix_retained_fraction,96,-0.14029947916666666,-0.224609375,-0.05615234375
SmolLM2-360M,exact_sequence_match,96,-0.125,-0.21875,-0.03125
SmolLM2-360M,token_match_fraction,96,-0.06966145833333333,-0.15218098958333334,0.013020833333333334
SmolLM2-360M,prefix_retained_fraction,96,-0.10319010416666667,-0.18896891276041666,-0.016927083333333332
